lemma,pos,genus,genus 1,genus 2,genus 3,genus 4,nominativ singular,nominativ singular*,nominativ singular 1,nominativ singular 2,nominativ singular 3,nominativ singular 4,nominativ singular stark,nominativ singular schwach,nominativ singular gemischt,nominativ plural,nominativ plural*,nominativ plural 1,nominativ plural 2,nominativ plural 3,nominativ plural 4,nominativ plural stark,nominativ plural schwach,nominativ plural gemischt,genitiv singular,genitiv singular*,genitiv singular 1,genitiv singular 2,genitiv singular 3,genitiv singular 4,genitiv singular stark,genitiv singular schwach,genitiv singular gemischt,genitiv plural,genitiv plural*,genitiv plural 1,genitiv plural 2,genitiv plural 3,genitiv plural 4,genitiv plural stark,genitiv plural schwach,genitiv plural gemischt,dativ singular,dativ singular*,dativ singular 1,dativ singular 2,dativ singular 3,dativ singular 4,dativ singular stark,dativ singular schwach,dativ singular gemischt,dativ plural,dativ plural*,dativ plural 1,dativ plural 2,dativ plural 3,dativ plural 4,dativ plural stark,dativ plural schwach,dativ plural gemischt,akkusativ singular,akkusativ singular*,akkusativ singular 1,akkusativ singular 2,akkusativ singular 3,akkusativ singular 4,akkusativ singular stark,akkusativ singular schwach,akkusativ singular gemischt,akkusativ plural,akkusativ plural*,akkusativ plural 1,akkusativ plural 2,akkusativ plural 3,akkusativ plural 4,akkusativ plural stark,akkusativ plural schwach,akkusativ plural gemischt
Raumplanung,Substantiv,f,,,,,Raumplanung,,,,,,,,,Raumplanungen,,,,,,,,,Raumplanung,,,,,,,,,Raumplanungen,,,,,,,,,Raumplanung,,,,,,,,,Raumplanungen,,,,,,,,,Raumplanung,,,,,,,,,Raumplanungen,,,,,,,,
Raumschiff,Substantiv,n,,,,,Raumschiff,,,,,,,,,Raumschiffe,,,,,,,,,Raumschiffes,Raumschiffs,,,,,,,,Raumschiffe,,,,,,,,,Raumschiff,Raumschiffe,,,,,,,,Raumschiffen,,,,,,,,,Raumschiff,,,,,,,,,Raumschiffe,,,,,,,,
Raumsonde,Substantiv,f,,,,,Raumsonde,,,,,,,,,Raumsonden,,,,,,,,,Raumsonde,,,,,,,,,Raumsonden,,,,,,,,,Raumsonde,,,,,,,,,Raumsonden,,,,,,,,,Raumsonde,,,,,,,,,Raumsonden,,,,,,,,
Raumsparschlitz,Substantiv,m,,,,,Raumsparschlitz,,,,,,,,,Raumsparschlitze,,,,,,,,,Raumsparschlitzes,,,,,,,,,Raumsparschlitze,,,,,,,,,Raumsparschlitz,,,,,,,,,Raumsparschlitzen,,,,,,,,,Raumsparschlitz,,,,,,,,,Raumsparschlitze,,,,,,,,
Raumspiel,Substantiv,n,,,,,Raumspiel,,,,,,,,,Raumspiele,,,,,,,,,Raumspieles,Raumspiels,,,,,,,,Raumspiele,,,,,,,,,Raumspiel,Raumspiele,,,,,,,,Raumspielen,,,,,,,,,Raumspiel,,,,,,,,,Raumspiele,,,,,,,,
Raumspray,Substantiv,,m,n,,,,,Raumspray,Raumspray,,,,,,Raumsprays,,,,,,,,,,,Raumsprays,Raumsprays,,,,,,Raumsprays,,,,,,,,,,,Raumspray,Raumspray,,,,,,Raumsprays,,,,,,,,,,,Raumspray,Raumspray,,,,,,Raumsprays,,,,,,,,
Raumstation,Substantiv,f,,,,,Raumstation,,,,,,,,,Raumstationen,,,,,,,,,Raumstation,,,,,,,,,Raumstationen,,,,,,,,,Raumstation,,,,,,,,,Raumstationen,,,,,,,,,Raumstation,,,,,,,,,Raumstationen,,,,,,,,
Raumteiler,Substantiv,m,,,,,Raumteiler,,,,,,,,,Raumteiler,,,,,,,,,Raumteilers,,,,,,,,,Raumteiler,,,,,,,,,Raumteiler,,,,,,,,,Raumteilern,,,,,,,,,Raumteiler,,,,,,,,,Raumteiler,,,,,,,,
Raumtemperatur,Substantiv,f,,,,,Raumtemperatur,,,,,,,,,Raumtemperaturen,,,,,,,,,Raumtemperatur,,,,,,,,,Raumtemperaturen,,,,,,,,,Raumtemperatur,,,,,,,,,Raumtemperaturen,,,,,,,,,Raumtemperatur,,,,,,,,,Raumtemperaturen,,,,,,,,
Raumtiefe,Substantiv,f,,,,,Raumtiefe,,,,,,,,,,,,,,,,,,Raumtiefe,,,,,,,,,,,,,,,,,,Raumtiefe,,,,,,,,,,,,,,,,,,Raumtiefe,,,,,,,,,,,,,,,,,
Raumutopie,Substantiv,f,,,,,Raumutopie,,,,,,,,,Raumutopien,,,,,,,,,Raumutopie,,,,,,,,,Raumutopien,,,,,,,,,Raumutopie,,,,,,,,,Raumutopien,,,,,,,,,Raumutopie,,,,,,,,,Raumutopien,,,,,,,,
Raumverschwendung,Substantiv,f,,,,,Raumverschwendung,,,,,,,,,Raumverschwendungen,,,,,,,,,Raumverschwendung,,,,,,,,,Raumverschwendungen,,,,,,,,,Raumverschwendung,,,,,,,,,Raumverschwendungen,,,,,,,,,Raumverschwendung,,,,,,,,,Raumverschwendungen,,,,,,,,
Raumvolumen,Substantiv,n,,,,,Raumvolumen,,,,,,,,,,,Raumvolumen,Raumvolumina,,,,,,Raumvolumens,,,,,,,,,,,Raumvolumen,Raumvolumina,,,,,,Raumvolumen,,,,,,,,,,,Raumvolumen,Raumvolumina,,,,,,Raumvolumen,,,,,,,,,,,Raumvolumen,Raumvolumina,,,,,
Raumzeit,Substantiv,f,,,,,Raumzeit,,,,,,,,,Raumzeiten,,,,,,,,,Raumzeit,,,,,,,,,Raumzeiten,,,,,,,,,Raumzeit,,,,,,,,,Raumzeiten,,,,,,,,,Raumzeit,,,,,,,,,Raumzeiten,,,,,,,,
Raumzeithintergrund,Substantiv,m,,,,,Raumzeithintergrund,,,,,,,,,Raumzeithintergründe,,,,,,,,,Raumzeithintergrunds,Raumzeithintergrundes,,,,,,,,Raumzeithintergründe,,,,,,,,,Raumzeithintergrund,Raumzeithintergrunde,,,,,,,,Raumzeithintergründen,,,,,,,,,Raumzeithintergrund,,,,,,,,,Raumzeithintergründe,,,,,,,,
Raumzeitkrümmung,Substantiv,f,,,,,Raumzeitkrümmung,,,,,,,,,Raumzeitkrümmungen,,,,,,,,,Raumzeitkrümmung,,,,,,,,,Raumzeitkrümmungen,,,,,,,,,Raumzeitkrümmung,,,,,,,,,Raumzeitkrümmungen,,,,,,,,,Raumzeitkrümmung,,,,,,,,,Raumzeitkrümmungen,,,,,,,,
Raunen,Substantiv,n,,,,,Raunen,,,,,,,,,,,,,,,,,,Raunens,,,,,,,,,,,,,,,,,,Raunen,,,,,,,,,,,,,,,,,,Raunen,,,,,,,,,,,,,,,,,
Raunheim,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raup,Substantiv,m,,,,,Raup,,,,,,,,,Raupen,,,,,,,,,Raups,,,,,,,,,Raupen,,,,,,,,,Raup,,,,,,,,,Raupen,,,,,,,,,Raup,,,,,,,,,Raupen,,,,,,,,
Raupe,Substantiv,f,,,,,Raupe,,,,,,,,,Raupen,,,,,,,,,Raupe,,,,,,,,,Raupen,,,,,,,,,Raupe,,,,,,,,,Raupen,,,,,,,,,Raupe,,,,,,,,,Raupen,,,,,,,,
Raupenfahrzeug,Substantiv,n,,,,,Raupenfahrzeug,,,,,,,,,Raupenfahrzeuge,,,,,,,,,Raupenfahrzeuges,Raupenfahrzeugs,,,,,,,,Raupenfahrzeuge,,,,,,,,,Raupenfahrzeug,Raupenfahrzeuge,,,,,,,,Raupenfahrzeugen,,,,,,,,,Raupenfahrzeug,,,,,,,,,Raupenfahrzeuge,,,,,,,,
Raupenleim,Substantiv,m,,,,,Raupenleim,,,,,,,,,Raupenleime,,,,,,,,,Raupenleimes,Raupenleims,,,,,,,,Raupenleime,,,,,,,,,Raupenleim,Raupenleime,,,,,,,,Raupenleimen,,,,,,,,,Raupenleim,,,,,,,,,Raupenleime,,,,,,,,
Raupennest,Substantiv,n,,,,,Raupennest,,,,,,,,,Raupennester,,,,,,,,,Raupennestes,Raupennests,,,,,,,,Raupennester,,,,,,,,,Raupennest,Raupenneste,,,,,,,,Raupennestern,,,,,,,,,Raupennest,,,,,,,,,Raupennester,,,,,,,,
Raupenschere,Substantiv,f,,,,,Raupenschere,,,,,,,,,Raupenscheren,,,,,,,,,Raupenschere,,,,,,,,,Raupenscheren,,,,,,,,,Raupenschere,,,,,,,,,Raupenscheren,,,,,,,,,Raupenschere,,,,,,,,,Raupenscheren,,,,,,,,
Raupenschlepper,Substantiv,m,,,,,Raupenschlepper,,,,,,,,,Raupenschlepper,,,,,,,,,Raupenschleppers,,,,,,,,,Raupenschlepper,,,,,,,,,Raupenschlepper,,,,,,,,,Raupenschleppern,,,,,,,,,Raupenschlepper,,,,,,,,,Raupenschlepper,,,,,,,,
Rauputz,Substantiv,m,,,,,Rauputz,,,,,,,,,Rauputze,,,,,,,,,Rauputzes,,,,,,,,,Rauputze,,,,,,,,,Rauputz,,,,,,,,,Rauputzen,,,,,,,,,Rauputz,,,,,,,,,Rauputze,,,,,,,,
Raureif,Substantiv,m,,,,,Raureif,,,,,,,,,,,,,,,,,,Raureifes,Raureifs,,,,,,,,,,,,,,,,,Raureif,Raureife,,,,,,,,,,,,,,,,,Raureif,,,,,,,,,,,,,,,,,
Rausch,Substantiv,m,,,,,Rausch,,,,,,,,,Räusche,,,,,,,,,Rausches,Rauschs,,,,,,,,Räusche,,,,,,,,,Rausch,Rausche,,,,,,,,Räuschen,,,,,,,,,Rausch,,,,,,,,,Räusche,,,,,,,,
Rauscharmut,Substantiv,f,,,,,Rauscharmut,,,,,,,,,,,,,,,,,,Rauscharmut,,,,,,,,,,,,,,,,,,Rauscharmut,,,,,,,,,,,,,,,,,,Rauscharmut,,,,,,,,,,,,,,,,,
Rauschbeere,Substantiv,f,,,,,Rauschbeere,,,,,,,,,Rauschbeeren,,,,,,,,,Rauschbeere,,,,,,,,,Rauschbeeren,,,,,,,,,Rauschbeere,,,,,,,,,Rauschbeeren,,,,,,,,,Rauschbeere,,,,,,,,,Rauschbeeren,,,,,,,,
Rauschebart,Substantiv,m,,,,,Rauschebart,,,,,,,,,Rauschebärte,,,,,,,,,Rauschebarts,Rauschebartes,,,,,,,,Rauschebärte,,,,,,,,,Rauschebart,Rauschebarte,,,,,,,,Rauschebärten,,,,,,,,,Rauschebart,,,,,,,,,Rauschebärte,,,,,,,,
Rauschen,Substantiv,n,,,,,Rauschen,,,,,,,,,,,,,,,,,,Rauschens,,,,,,,,,,,,,,,,,,Rauschen,,,,,,,,,,,,,,,,,,Rauschen,,,,,,,,,,,,,,,,,
Rauschenberg,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rauscherlebnis,Substantiv,n,,,,,Rauscherlebnis,,,,,,,,,Rauscherlebnisse,,,,,,,,,Rauscherlebnisses,,,,,,,,,Rauscherlebnisse,,,,,,,,,Rauscherlebnis,Rauscherlebnisse,,,,,,,,Rauscherlebnissen,,,,,,,,,Rauscherlebnis,,,,,,,,,Rauscherlebnisse,,,,,,,,
Rauschgift,Substantiv,n,,,,,Rauschgift,,,,,,,,,Rauschgifte,,,,,,,,,Rauschgiftes,Rauschgifts,,,,,,,,Rauschgifte,,,,,,,,,Rauschgift,Rauschgifte,,,,,,,,Rauschgiften,,,,,,,,,Rauschgift,,,,,,,,,Rauschgifte,,,,,,,,
Rauschgiftdezernat,Substantiv,n,,,,,Rauschgiftdezernat,,,,,,,,,Rauschgiftdezernate,,,,,,,,,Rauschgiftdezernates,Rauschgiftdezernats,,,,,,,,Rauschgiftdezernate,,,,,,,,,Rauschgiftdezernat,Rauschgiftdezernate,,,,,,,,Rauschgiftdezernaten,,,,,,,,,Rauschgiftdezernat,,,,,,,,,Rauschgiftdezernate,,,,,,,,
Rauschgifthandel,Substantiv,m,,,,,Rauschgifthandel,,,,,,,,,,,,,,,,,,Rauschgifthandels,,,,,,,,,,,,,,,,,,Rauschgifthandel,,,,,,,,,,,,,,,,,,Rauschgifthandel,,,,,,,,,,,,,,,,,
Rauschgifthändler,Substantiv,m,,,,,Rauschgifthändler,,,,,,,,,Rauschgifthändler,,,,,,,,,Rauschgifthändlers,,,,,,,,,Rauschgifthändler,,,,,,,,,Rauschgifthändler,,,,,,,,,Rauschgifthändlern,,,,,,,,,Rauschgifthändler,,,,,,,,,Rauschgifthändler,,,,,,,,
Rauschgifthändlerin,Substantiv,f,,,,,Rauschgifthändlerin,,,,,,,,,Rauschgifthändlerinnen,,,,,,,,,Rauschgifthändlerin,,,,,,,,,Rauschgifthändlerinnen,,,,,,,,,Rauschgifthändlerin,,,,,,,,,Rauschgifthändlerinnen,,,,,,,,,Rauschgifthändlerin,,,,,,,,,Rauschgifthändlerinnen,,,,,,,,
Rauschgiftkonsum,Substantiv,m,,,,,Rauschgiftkonsum,,,,,,,,,,,,,,,,,,Rauschgiftkonsums,,,,,,,,,,,,,,,,,,Rauschgiftkonsum,,,,,,,,,,,,,,,,,,Rauschgiftkonsum,,,,,,,,,,,,,,,,,
Rauschgiftmenge,Substantiv,f,,,,,Rauschgiftmenge,,,,,,,,,Rauschgiftmengen,,,,,,,,,Rauschgiftmenge,,,,,,,,,Rauschgiftmengen,,,,,,,,,Rauschgiftmenge,,,,,,,,,Rauschgiftmengen,,,,,,,,,Rauschgiftmenge,,,,,,,,,Rauschgiftmengen,,,,,,,,
Rauschgiftschmuggel,Substantiv,m,,,,,Rauschgiftschmuggel,,,,,,,,,,,,,,,,,,Rauschgiftschmuggels,,,,,,,,,,,,,,,,,,Rauschgiftschmuggel,,,,,,,,,,,,,,,,,,Rauschgiftschmuggel,,,,,,,,,,,,,,,,,
Rauschgiftszene,Substantiv,f,,,,,Rauschgiftszene,,,,,,,,,Rauschgiftszenen,,,,,,,,,Rauschgiftszene,,,,,,,,,Rauschgiftszenen,,,,,,,,,Rauschgiftszene,,,,,,,,,Rauschgiftszenen,,,,,,,,,Rauschgiftszene,,,,,,,,,Rauschgiftszenen,,,,,,,,
Rauschgold,Substantiv,n,,,,,Rauschgold,,,,,,,,,,,,,,,,,,Rauschgolds,Rauschgoldes,,,,,,,,,,,,,,,,,Rauschgold,Rauschgolde,,,,,,,,,,,,,,,,,Rauschgold,,,,,,,,,,,,,,,,,
Rauschgoldengel,Substantiv,m,,,,,Rauschgoldengel,,,,,,,,,Rauschgoldengel,,,,,,,,,Rauschgoldengels,,,,,,,,,Rauschgoldengel,,,,,,,,,Rauschgoldengel,,,,,,,,,Rauschgoldengeln,,,,,,,,,Rauschgoldengel,,,,,,,,,Rauschgoldengel,,,,,,,,
Rauschkugel,Substantiv,f,,,,,Rauschkugel,,,,,,,,,Rauschkugeln,,,,,,,,,Rauschkugel,,,,,,,,,Rauschkugeln,,,,,,,,,Rauschkugel,,,,,,,,,Rauschkugeln,,,,,,,,,Rauschkugel,,,,,,,,,Rauschkugeln,,,,,,,,
Rauschmittel,Substantiv,n,,,,,Rauschmittel,,,,,,,,,Rauschmittel,,,,,,,,,Rauschmittels,,,,,,,,,Rauschmittel,,,,,,,,,Rauschmittel,,,,,,,,,Rauschmitteln,,,,,,,,,Rauschmittel,,,,,,,,,Rauschmittel,,,,,,,,
Rauschmittelkonsum,Substantiv,m,,,,,Rauschmittelkonsum,,,,,,,,,,,,,,,,,,Rauschmittelkonsums,,,,,,,,,,,,,,,,,,Rauschmittelkonsum,,,,,,,,,,,,,,,,,,Rauschmittelkonsum,,,,,,,,,,,,,,,,,
Rauschzustand,Substantiv,m,,,,,Rauschzustand,,,,,,,,,Rauschzustände,,,,,,,,,Rauschzustandes,Rauschzustands,,,,,,,,Rauschzustände,,,,,,,,,Rauschzustand,Rauschzustande,,,,,,,,Rauschzuständen,,,,,,,,,Rauschzustand,,,,,,,,,Rauschzustände,,,,,,,,
Rausschmiss,Substantiv,m,,,,,Rausschmiss,,,,,,,,,Rausschmisse,,,,,,,,,Rausschmisses,,,,,,,,,Rausschmisse,,,,,,,,,Rausschmiss,Rausschmisse,,,,,,,,Rausschmissen,,,,,,,,,Rausschmiss,,,,,,,,,Rausschmisse,,,,,,,,
Rauswurf,Substantiv,m,,,,,Rauswurf,,,,,,,,,Rauswürfe,,,,,,,,,Rauswurfes,Rauswurfs,,,,,,,,Rauswürfe,,,,,,,,,Rauswurf,Rauswurfe,,,,,,,,Rauswürfen,,,,,,,,,Rauswurf,,,,,,,,,Rauswürfe,,,,,,,,
Raute,Substantiv,f,,,,,Raute,,,,,,,,,Rauten,,,,,,,,,Raute,,,,,,,,,Rauten,,,,,,,,,Raute,,,,,,,,,Rauten,,,,,,,,,Raute,,,,,,,,,Rauten,,,,,,,,
Rautgunde,"Substantiv,Vorname",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rauware,Substantiv,f,,,,,Rauware,,,,,,,,,Rauwaren,,,,,,,,,Rauware,,,,,,,,,Rauwaren,,,,,,,,,Rauware,,,,,,,,,Rauwaren,,,,,,,,,Rauware,,,,,,,,,Rauwaren,,,,,,,,
Rave,Substantiv,,m,n,,,,,Rave,Rave,,,,,,Raves,,,,,,,,,,,Rave,Rave,,,,,,Raves,,,,,,,,,,,Rave,Rave,,,,,,Raves,,,,,,,,,,,Rave,Rave,,,,,,Raves,,,,,,,,
Ravelin,Substantiv,m,,,,,Ravelin,,,,,,,,,Ravelins,,,,,,,,,Ravelins,,,,,,,,,Ravelins,,,,,,,,,Ravelin,,,,,,,,,Ravelins,,,,,,,,,Ravelin,,,,,,,,,Ravelins,,,,,,,,
Ravenna,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravensburg,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravensburg,"Substantiv,Toponym",f,,,,,Ravensburg,,,,,,,,,,,,,,,,,,Ravensburg,,,,,,,,,,,,,,,,,,Ravensburg,,,,,,,,,,,,,,,,,,Ravensburg,,,,,,,,,,,,,,,,,
Ravenstein,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravioli,Substantiv,,,,,,,,,,,,,,,Ravioli,,,,,,,,,,,,,,,,,,Ravioli,,,,,,,,,,,,,,,,,,Ravioli,,,,,,,,,,,,,,,,,,Ravioli,,,,,,,,
Rax,"Substantiv,Toponym",f,,,,,Rax,,,,,,,,,,,,,,,,,,Rax,,,,,,,,,,,,,,,,,,Rax,,,,,,,,,,,,,,,,,,Rax,,,,,,,,,,,,,,,,,
Raxseilbahn,Substantiv,f,,,,,Raxseilbahn,,,,,,,,,,,,,,,,,,Raxseilbahn,,,,,,,,,,,,,,,,,,Raxseilbahn,,,,,,,,,,,,,,,,,,Raxseilbahn,,,,,,,,,,,,,,,,,
Rayon,Substantiv,m,,,,,Rayon,,,,,,,,,,,Rayons,Rayone,,,,,,Rayons,,,,,,,,,,,Rayons,Rayone,,,,,,Rayon,,,,,,,,,,,Rayons,Rayonen,,,,,,Rayon,,,,,,,,,,,Rayons,Rayone,,,,,
Rayon,Substantiv,n,,,,,Rayon,,,,,,,,,Rayons,,,,,,,,,Rayons,,,,,,,,,Rayons,,,,,,,,,Rayon,,,,,,,,,Rayons,,,,,,,,,Rayon,,,,,,,,,Rayons,,,,,,,,
Rayonverbot,Substantiv,n,,,,,Rayonverbot,,,,,,,,,Rayonverbote,,,,,,,,,Rayonverbots,Rayonverbotes,,,,,,,,Rayonverbote,,,,,,,,,Rayonverbot,,,,,,,,,Rayonverboten,,,,,,,,,Rayonverbot,,,,,,,,,Rayonverbote,,,,,,,,
Razemat,Substantiv,n,,,,,Razemat,,,,,,,,,Razemate,,,,,,,,,Razemats,Razemates,,,,,,,,Razemate,,,,,,,,,Razemat,,,,,,,,,Razematen,,,,,,,,,Razemat,,,,,,,,,Razemate,,,,,,,,
Raziel,"Eigenname,Substantiv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razzia,Substantiv,f,,,,,Razzia,,,,,,,,,,,Razzien,Razzias,,,,,,Razzia,,,,,,,,,,,Razzien,Razzias,,,,,,Razzia,,,,,,,,,,,Razzien,Razzias,,,,,,Razzia,,,,,,,,,,,Razzien,Razzias,,,,,
Re,"Eigenname,Substantiv",m,,,,,Re,,,,,,,,,,,,,,,,,,Re,Res,,,,,,,,,,,,,,,,,Re,,,,,,,,,,,,,,,,,,Re,,,,,,,,,,,,,,,,,
Re,Substantiv,n,,,,,Re,,,,,,,,,Res,,,,,,,,,Res,,,,,,,,,Res,,,,,,,,,Re,,,,,,,,,Res,,,,,,,,,Re,,,,,,,,,Res,,,,,,,,
Ready-made,Substantiv,n,,,,,Ready-made,,,,,,,,,Ready-mades,,,,,,,,,Ready-made,Ready-mades,,,,,,,,Ready-mades,,,,,,,,,Ready-made,,,,,,,,,Ready-mades,,,,,,,,,Ready-made,,,,,,,,,Ready-mades,,,,,,,,
Readymade,Substantiv,n,,,,,Readymade,,,,,,,,,Readymades,,,,,,,,,Readymade,Readymades,,,,,,,,Readymades,,,,,,,,,Readymade,,,,,,,,,Readymades,,,,,,,,,Readymade,,,,,,,,,Readymades,,,,,,,,
Reagenz,Substantiv,n,,,,,Reagenz,,,,,,,,,Reagenzien,,,,,,,,,Reagenzes,,,,,,,,,Reagenzien,,,,,,,,,Reagenz,,,,,,,,,Reagenzien,,,,,,,,,Reagenz,,,,,,,,,Reagenzien,,,,,,,,
Reagenz,Substantiv,f,,,,,Reagenz,,,,,,,,,,,,,,,,,,Reagenz,,,,,,,,,,,,,,,,,,Reagenz,,,,,,,,,,,,,,,,,,Reagenz,,,,,,,,,,,,,,,,,
Reagenzglas,Substantiv,n,,,,,Reagenzglas,,,,,,,,,Reagenzgläser,,,,,,,,,Reagenzglases,,,,,,,,,Reagenzgläser,,,,,,,,,Reagenzglas,,,,,,,,,Reagenzgläsern,,,,,,,,,Reagenzglas,,,,,,,,,Reagenzgläser,,,,,,,,
Reagenzglasbefruchtung,Substantiv,f,,,,,Reagenzglasbefruchtung,,,,,,,,,Reagenzglasbefruchtungen,,,,,,,,,Reagenzglasbefruchtung,,,,,,,,,Reagenzglasbefruchtungen,,,,,,,,,Reagenzglasbefruchtung,,,,,,,,,Reagenzglasbefruchtungen,,,,,,,,,Reagenzglasbefruchtung,,,,,,,,,Reagenzglasbefruchtungen,,,,,,,,
Reagibilität,Substantiv,f,,,,,Reagibilität,,,,,,,,,,,,,,,,,,Reagibilität,,,,,,,,,,,,,,,,,,Reagibilität,,,,,,,,,,,,,,,,,,Reagibilität,,,,,,,,,,,,,,,,,
Reaktanz,Substantiv,f,,,,,Reaktanz,,,,,,,,,Reaktanzen,,,,,,,,,Reaktanz,,,,,,,,,Reaktanzen,,,,,,,,,Reaktanz,,,,,,,,,Reaktanzen,,,,,,,,,Reaktanz,,,,,,,,,Reaktanzen,,,,,,,,
Reaktion,Substantiv,f,,,,,Reaktion,,,,,,,,,Reaktionen,,,,,,,,,Reaktion,,,,,,,,,Reaktionen,,,,,,,,,Reaktion,,,,,,,,,Reaktionen,,,,,,,,,Reaktion,,,,,,,,,Reaktionen,,,,,,,,
Reaktionsantrieb,Substantiv,m,,,,,Reaktionsantrieb,,,,,,,,,Reaktionsantriebe,,,,,,,,,Reaktionsantriebs,Reaktionsantriebes,,,,,,,,Reaktionsantriebe,,,,,,,,,Reaktionsantrieb,,,,,,,,,Reaktionsantrieben,,,,,,,,,Reaktionsantrieb,,,,,,,,,Reaktionsantriebe,,,,,,,,
Reaktionsbehälter,Substantiv,m,,,,,Reaktionsbehälter,,,,,,,,,Reaktionsbehälter,,,,,,,,,Reaktionsbehälters,,,,,,,,,Reaktionsbehälter,,,,,,,,,Reaktionsbehälter,,,,,,,,,Reaktionsbehältern,,,,,,,,,Reaktionsbehälter,,,,,,,,,Reaktionsbehälter,,,,,,,,
Reaktionsfähigkeit,Substantiv,f,,,,,Reaktionsfähigkeit,,,,,,,,,,,,,,,,,,Reaktionsfähigkeit,,,,,,,,,,,,,,,,,,Reaktionsfähigkeit,,,,,,,,,,,,,,,,,,Reaktionsfähigkeit,,,,,,,,,,,,,,,,,
Reaktionsgleichgewicht,Substantiv,n,,,,,Reaktionsgleichgewicht,,,,,,,,,Reaktionsgleichgewichte,,,,,,,,,Reaktionsgleichgewichts,Reaktionsgleichgewichtes,,,,,,,,Reaktionsgleichgewichte,,,,,,,,,Reaktionsgleichgewicht,Reaktionsgleichgewichte,,,,,,,,Reaktionsgleichgewichten,,,,,,,,,Reaktionsgleichgewicht,,,,,,,,,Reaktionsgleichgewichte,,,,,,,,
Reaktionsgleichung,Substantiv,f,,,,,Reaktionsgleichung,,,,,,,,,Reaktionsgleichungen,,,,,,,,,Reaktionsgleichung,,,,,,,,,Reaktionsgleichungen,,,,,,,,,Reaktionsgleichung,,,,,,,,,Reaktionsgleichungen,,,,,,,,,Reaktionsgleichung,,,,,,,,,Reaktionsgleichungen,,,,,,,,
Reaktionskammer,Substantiv,f,,,,,Reaktionskammer,,,,,,,,,Reaktionskammern,,,,,,,,,Reaktionskammer,,,,,,,,,Reaktionskammern,,,,,,,,,Reaktionskammer,,,,,,,,,Reaktionskammern,,,,,,,,,Reaktionskammer,,,,,,,,,Reaktionskammern,,,,,,,,
Reaktionsmechanismus,Substantiv,m,,,,,Reaktionsmechanismus,,,,,,,,,Reaktionsmechanismen,,,,,,,,,Reaktionsmechanismus,,,,,,,,,Reaktionsmechanismen,,,,,,,,,Reaktionsmechanismus,,,,,,,,,Reaktionsmechanismen,,,,,,,,,Reaktionsmechanismus,,,,,,,,,Reaktionsmechanismen,,,,,,,,
Reaktionsschema,Substantiv,n,,,,,Reaktionsschema,,,,,,,,,Reaktionsschemata,,,,,,,,,Reaktionsschemas,,,,,,,,,Reaktionsschemata,,,,,,,,,Reaktionsschema,,,,,,,,,Reaktionsschemata,,,,,,,,,Reaktionsschema,,,,,,,,,Reaktionsschemata,,,,,,,,
Reaktionsstrecke,Substantiv,f,,,,,Reaktionsstrecke,,,,,,,,,Reaktionsstrecken,,,,,,,,,Reaktionsstrecke,,,,,,,,,Reaktionsstrecken,,,,,,,,,Reaktionsstrecke,,,,,,,,,Reaktionsstrecken,,,,,,,,,Reaktionsstrecke,,,,,,,,,Reaktionsstrecken,,,,,,,,
Reaktionstest,Substantiv,m,,,,,Reaktionstest,,,,,,,,,,,Reaktionstests,Reaktionsteste,,,,,,Reaktionstestes,Reaktionstests,,,,,,,,,,Reaktionstests,Reaktionsteste,,,,,,Reaktionstest,Reaktionsteste,,,,,,,,,,Reaktionstests,Reaktionstesten,,,,,,Reaktionstest,,,,,,,,,,,Reaktionstests,Reaktionsteste,,,,,
Reaktionswärme,Substantiv,f,,,,,Reaktionswärme,,,,,,,,,,,,,,,,,,Reaktionswärme,,,,,,,,,,,,,,,,,,Reaktionswärme,,,,,,,,,,,,,,,,,,Reaktionswärme,,,,,,,,,,,,,,,,,
Reaktionszeit,Substantiv,f,,,,,Reaktionszeit,,,,,,,,,Reaktionszeiten,,,,,,,,,Reaktionszeit,,,,,,,,,Reaktionszeiten,,,,,,,,,Reaktionszeit,,,,,,,,,Reaktionszeiten,,,,,,,,,Reaktionszeit,,,,,,,,,Reaktionszeiten,,,,,,,,
